test_name                                      num_threads    ops_per_sec
Update.DocValidation.OneFiftyNum.JSONSchema              4    2487.06
Update.DocValidation.Variety.Compare                     1    1586.28
Update.DocValidation.Variety.Compare                     2    3309.86
Update.DocValidation.Variety.Compare                     4    5431.12
Update.DocValidation.Variety.JSONSchema                  1    1792.12
Update.DocValidation.Variety.JSONSchema                  2    3170.99
Update.DocValidation.Variety.JSONSchema                  4    5345.51
Update.DocValidation.Array.Compare                       1    2205.52
Update.DocValidation.Array.Compare                       2    4010.38
Update.DocValidation.Array.Compare                       4    7627.06
Update.DocValidation.Array.JSONSchema                    1    2217.03
Update.DocValidation.Array.JSONSchema                    2    4035.22
Update.DocValidation.Array.JSONSchema                    4    7788.19
Update.DocValidation.Nested.Compare                      1    1587.85
Update.DocValidation.Nested.Compare                      2    2900.01
Update.DocValidation.Nested.Compare                      4    5128.1
Update.DocValidation.Nested.JSONSchema                   1    1636.02
Update.DocValidation.Nested.JSONSchema                   2    2744.23
Update.DocValidation.Nested.JSONSchema                   4    4844.23
MultiUpdate.BigAllDocs.NoIndex                           1       0.406353
MultiUpdate.BigAllDocs.NoIndex                           2       0.639839
MultiUpdate.BigAllDocs.NoIndex                           4       1.03909
MultiUpdate.BigAllDocs.Indexed                           1       0.297572
MultiUpdate.BigAllDocs.Indexed                           2       0.502354
MultiUpdate.BigAllDocs.Indexed                           4       0.709041
MultiUpdate.BigAllDocsMultiChange.NoIndex                1       0.42165
MultiUpdate.BigAllDocsMultiChange.NoIndex                2       0.651767
MultiUpdate.BigAllDocsMultiChange.NoIndex                4       0.960104
MultiUpdate.BigAllDocsMultiChange.Indexed                1       0.270881
MultiUpdate.BigAllDocsMultiChange.Indexed                2       0.457023
MultiUpdate.BigAllDocsMultiChange.Indexed                4       0.640252
MultiUpdate.Contended.AllDocs.NoIndex                    1      12.5955
MultiUpdate.Contended.AllDocs.NoIndex                    2      19.7564
MultiUpdate.Contended.AllDocs.NoIndex                    4      30.6042
MultiUpdate.Contended.AllDocs.Indexed                    1       9.38642
MultiUpdate.Contended.AllDocs.Indexed                    2      15.9247
MultiUpdate.Contended.AllDocs.Indexed                    4      24.5374
Inserts.PartialIndex.FilteredRange                       1    1645.99
Inserts.PartialIndex.FilteredRange                       2    2646.03
Inserts.PartialIndex.FilteredRange                       4    5233.11
Inserts.PartialIndex.NonFilteredRange                    1    1667.67
Inserts.PartialIndex.NonFilteredRange                    2    2987.56
Inserts.PartialIndex.NonFilteredRange                    4    5771.08
Inserts.PartialIndex.FullRange                           1    1937.46
Inserts.PartialIndex.FullRange                           2    3683.11
Inserts.PartialIndex.FullRange                           4    6153.78
Insert.Empty                                             1    1890.95
Insert.Empty                                             2    3122.45
Insert.Empty                                             4    5655.23
Insert.EmptyCapped                                       1    1846.08
Insert.EmptyCapped                                       2    3293.98
Insert.EmptyCapped                                       4    5054.27
Insert.EmptyCapped.SeqIntID                              1    1891.74
Insert.EmptyCapped.SeqIntID                              2    3205.86
Insert.EmptyCapped.SeqIntID                              4    4423.36
Insert.JustID                                            1    1495.61
Insert.JustID                                            2    3274.2
Insert.JustID                                            4    6303.1
Insert.IntVector                                         1     629.809
Insert.IntVector                                         2    1159.11
Insert.IntVector                                         4    1922.42
Insert.SeqIntID.Indexed                                  1    1011.57
Insert.SeqIntID.Indexed                                  2    2280.38
Insert.SeqIntID.Indexed                                  4    4770.51
Insert.IntIDUpsert                                       1    1333.95
Insert.IntIDUpsert                                       2    3061.64
Insert.IntIDUpsert                                       4    4639.82
Insert.JustNum                                           1    1432.7
Insert.JustNum                                           2    2881.18
Insert.JustNum                                           4    6106.42
Insert.JustNumIndexed                                    1    1764.77
Insert.JustNumIndexed                                    2    3092.24
Insert.JustNumIndexed                                    4    5757.19
InsertIndexedStringsSimpleCollation                      1    1650.67
InsertIndexedStringsSimpleCollation                      2    3133.57
