test_name                                      num_threads    ops_per_sec
Update.DocValidation.OneFiftyNum.JSONSchema              4    1807.36
Update.DocValidation.Variety.Compare                     1    1345.08
Update.DocValidation.Variety.Compare                     2    2679.55
Update.DocValidation.Variety.Compare                     4    4936.5
Update.DocValidation.Variety.JSONSchema                  1    1278.92
Update.DocValidation.Variety.JSONSchema                  2    2587.08
Update.DocValidation.Variety.JSONSchema                  4    4666.09
Update.DocValidation.Array.Compare                       1    1938.2
Update.DocValidation.Array.Compare                       2    3916.95
Update.DocValidation.Array.Compare                       4    6789.88
Update.DocValidation.Array.JSONSchema                    1    1895.88
Update.DocValidation.Array.JSONSchema                    2    3915.24
Update.DocValidation.Array.JSONSchema                    4    6315.48
Update.DocValidation.Nested.Compare                      1    1338.38
Update.DocValidation.Nested.Compare                      2    2499.28
Update.DocValidation.Nested.Compare                      4    4194.88
Update.DocValidation.Nested.JSONSchema                   1    1228.56
Update.DocValidation.Nested.JSONSchema                   2    2179.72
Update.DocValidation.Nested.JSONSchema                   4    4182.14
MultiUpdate.BigAllDocs.NoIndex                           1       0.390664
MultiUpdate.BigAllDocs.NoIndex                           2       0.471344
MultiUpdate.BigAllDocs.NoIndex                           4       0.343334
MultiUpdate.BigAllDocs.Indexed                           1       0.309721
MultiUpdate.BigAllDocs.Indexed                           2       0.342606
MultiUpdate.BigAllDocs.Indexed                           4       0.457258
MultiUpdate.BigAllDocsMultiChange.NoIndex                1       0.408108
MultiUpdate.BigAllDocsMultiChange.NoIndex                2       0.489866
MultiUpdate.BigAllDocsMultiChange.NoIndex                4       0.34293
MultiUpdate.BigAllDocsMultiChange.Indexed                1       0.270865
MultiUpdate.BigAllDocsMultiChange.Indexed                2       0.394649
MultiUpdate.BigAllDocsMultiChange.Indexed                4       0.327232
MultiUpdate.Contended.AllDocs.NoIndex                    1      12.0458
MultiUpdate.Contended.AllDocs.NoIndex                    2      16.7116
MultiUpdate.Contended.AllDocs.NoIndex                    4      18.284
MultiUpdate.Contended.AllDocs.Indexed                    1       5.29778
MultiUpdate.Contended.AllDocs.Indexed                    2      13.6807
MultiUpdate.Contended.AllDocs.Indexed                    4      12.0187
Inserts.PartialIndex.FilteredRange                       1    1354.19
Inserts.PartialIndex.FilteredRange                       2    2833.13
Inserts.PartialIndex.FilteredRange                       4    4586.28
Inserts.PartialIndex.NonFilteredRange                    1    1445.17
Inserts.PartialIndex.NonFilteredRange                    2    2889.9
Inserts.PartialIndex.NonFilteredRange                    4    5062.93
Inserts.PartialIndex.FullRange                           1    1451.4
Inserts.PartialIndex.FullRange                           2    2803.38
Inserts.PartialIndex.FullRange                           4    5519
Insert.Empty                                             1    1407.89
Insert.Empty                                             2    2942.59
Insert.Empty                                             4    4994.19
Insert.EmptyCapped                                       1    1363.56
Insert.EmptyCapped                                       2    2854.72
Insert.EmptyCapped                                       4    4703.58
Insert.EmptyCapped.SeqIntID                              1    1439.29
Insert.EmptyCapped.SeqIntID                              2    2663.37
Insert.EmptyCapped.SeqIntID                              4    4804.57
Insert.JustID                                            1    1360.86
Insert.JustID                                            2    2806.75
Insert.JustID                                            4    4887.35
Insert.IntVector                                         1     466.281
Insert.IntVector                                         2     919.732
Insert.IntVector                                         4    1352.91
Insert.SeqIntID.Indexed                                  1    1449.8
Insert.SeqIntID.Indexed                                  2    2829.81
Insert.SeqIntID.Indexed                                  4    4831.07
Insert.IntIDUpsert                                       1    1363.8
Insert.IntIDUpsert                                       2    2583.18
Insert.IntIDUpsert                                       4    5096.6
Insert.JustNum                                           1    1410.53
Insert.JustNum                                           2    2974.11
Insert.JustNum                                           4    5253.51
Insert.JustNumIndexed                                    1    1413.15
Insert.JustNumIndexed                                    2    2962.55
Insert.JustNumIndexed                                    4    5088.37
InsertIndexedStringsSimpleCollation                      1    1516.61
InsertIndexedStringsSimpleCollation                      2    2797.65
InsertIndexedStringsSimpleCollation                      4    5483.06
InsertIndexedStringsNonSimpleCollation                   1    1411.2
InsertIndexedStringsNonSimpleCollation                   2    2930.56
InsertIndexedStringsNonSimpleCollation                   4    5195.19
Insert.UniqueIndex                                       1    1320.16
Insert.UniqueIndex                                       2    2900.91
Insert.UniqueIndex                                       4    4944.03
Insert.UniqueIndexCompound                               1    1499.98
Insert.UniqueIndexCompound                               2    2802.98
Insert.UniqueIndexCompound                               4    5262.5
Insert.UniqueIndexCompoundReverse                        1    1343.76
Insert.UniqueIndexCompoundReverse                        2    2797.15
Insert.UniqueIndexCompoundReverse                        4    4417.42
Insert.LargeDocVector                                    1     209.131
Insert.LargeDocVector                                    2     399.437
Insert.LargeDocVector                                    4     627.033
MultiUpdate.Uncontended.SingleDoc.NoIndex                1    1301.19
MultiUpdate.Uncontended.SingleDoc.NoIndex                2    2765.09
MultiUpdate.Uncontended.SingleDoc.NoIndex                4    4412.44
MultiUpdate.Uncontended.SingleDoc.Indexed                1    1302.54
MultiUpdate.Uncontended.SingleDoc.Indexed                2    2459.44
MultiUpdate.Uncontended.SingleDoc.Indexed                4    4409.9
MultiUpdate.Uncontended.TwoDocs.NoIndex                  1    1208.52
MultiUpdate.Uncontended.TwoDocs.NoIndex                  2    2305.09
MultiUpdate.Uncontended.TwoDocs.NoIndex                  4    4116.74
MultiUpdate.Uncontended.TwoDocs.Indexed                  1    1106.85
MultiUpdate.Uncontended.TwoDocs.Indexed                  2    2274.07
MultiUpdate.Uncontended.TwoDocs.Indexed                  4    3587.03
MultiUpdate.Contended.Low.NoIndex                        1    1346.29
MultiUpdate.Contended.Low.NoIndex                        2    2801.42
MultiUpdate.Contended.Low.NoIndex                        4    4651.71
MultiUpdate.Contended.Low.Indexed                        1    1265.38
MultiUpdate.Contended.Low.Indexed                        2    2328.91
MultiUpdate.Contended.Low.Indexed                        4    4477.59
MultiUpdate.Contended.Medium.NoIndex                     1      15.901
MultiUpdate.Contended.Medium.NoIndex                     2      17.796
MultiUpdate.Contended.Medium.NoIndex                     4       7.50792
MultiUpdate.Contended.Medium.Indexed                     1      10.3206
MultiUpdate.Contended.Medium.Indexed                     2      16.7255
MultiUpdate.Contended.Medium.Indexed                     4       7.79922
MultiUpdate.Contended.Hot.NoIndex                        1     566.116
MultiUpdate.Contended.Hot.NoIndex                        2    1191.83
MultiUpdate.Contended.Hot.NoIndex                        4    1685.22
MultiUpdate.Contended.Hot.Indexed                        1     672.495
MultiUpdate.Contended.Hot.Indexed                        2    1007.39
MultiUpdate.Contended.Hot.Indexed                        4    1687.16
MultiUpdate.Contended.Doc.Seq.NoIndex                    1    1353.98
MultiUpdate.Contended.Doc.Seq.NoIndex                    2    2485.05
MultiUpdate.Contended.Doc.Seq.NoIndex                    4    4564.39
MultiUpdate.Contended.Doc.Seq.Indexed                    1    1231.54
MultiUpdate.Contended.Doc.Seq.Indexed                    2    2676.88
MultiUpdate.Contended.Doc.Seq.Indexed                    4    4160.47
MultiUpdate.Contended.Doc.Rnd.NoIndex                    1    1991.27
MultiUpdate.Contended.Doc.Rnd.NoIndex                    2    3775.3
MultiUpdate.Contended.Doc.Rnd.NoIndex                    4    6480.97
MultiUpdate.Contended.Doc.Rnd.Indexed                    1    1910.32
MultiUpdate.Contended.Doc.Rnd.Indexed                    2    3495.73
MultiUpdate.Contended.Doc.Rnd.Indexed                    4    6970.36
Update.IncNoIndex                                        1    1334.19
Update.IncNoIndex                                        2    2622.18
Update.IncNoIndex                                        4    4809.81
Update.IncWithIndex                                      1    1290.92
Update.IncWithIndex                                      2    2700.24
Update.IncWithIndex                                      4    4326.47
Update.IncNoIndexUpsert                                  1    1409.89
Update.IncNoIndexUpsert                                  2    2747.91
Update.IncNoIndexUpsert                                  4    5040.9
Update.IncWithIndexUpsert                                1    1335.61
Update.IncWithIndexUpsert                                2    2640.72
Update.IncWithIndexUpsert                                4    4749.6
Update.IncFewSmallDoc                                    1    1282.77
Update.IncFewSmallDoc                                    2    2727.02
Update.IncFewSmallDoc                                    4    4372.5
Update.IncFewLargeDoc                                    1    1372.68
Update.IncFewLargeDoc                                    2    2503.55
Update.IncFewLargeDoc                                    4    4541.28
Update.IncFewSmallDocLongFields                          1    1305.41
Update.IncFewSmallDocLongFields                          2    2510.42
Update.IncFewSmallDocLongFields                          4    4553.96
Update.IncFewLargeDocLongFields                          1    1284.56
Update.IncFewLargeDocLongFields                          2    2718.53
Update.IncFewLargeDocLongFields                          4    4377.71
Update.SingleDocFieldAtOffset                            1    1914.38
Update.SingleDocFieldAtOffset                            2    3819.18
Update.SingleDocFieldAtOffset                            4    6938.04
Update.FieldAtOffset                                     1     133.112
Update.FieldAtOffset                                     2     281.985
Update.FieldAtOffset                                     4     565.888
Update.ManyElementsWithinArray                           1     318.643
Update.ManyElementsWithinArray                           2     612.908
Update.ManyElementsWithinArray                           4    1071.86
Update.MatchedElementWithinArray                         1     878.685
Update.MatchedElementWithinArray                         2    1533.2
Update.MatchedElementWithinArray                         4    2745.1
Update.UniqueIndex                                       1    1220.6
Update.UniqueIndex                                       2    2255.7
Update.UniqueIndex                                       4    4613.29
Update.UniqueIndexCompoundReverse                        1    1213.2
Update.UniqueIndexCompoundReverse                        2    2649.57
Update.UniqueIndexCompoundReverse                        4    4307.5
Update.MmsIncShallow1                                    1    1246.82
Update.MmsIncShallow1                                    2    2316.93
Update.MmsIncShallow1                                    4    3712.97
Update.MmsIncShallow2                                    1    1290.22
Update.MmsIncShallow2                                    2    2305.1
Update.MmsIncShallow2                                    4    3997.39
Update.MmsIncDeep1                                       1    1121.76
Update.MmsIncDeep1                                       2    2311.33
Update.MmsIncDeep1                                       4    3399.47
Update.MmsIncDeepSharedPath2                             1    1234.16
Update.MmsIncDeepSharedPath2                             2    2382.64
Update.MmsIncDeepSharedPath2                             4    3560.79
Update.MmsIncDeepSharedPath3                             1    1184.59
Update.MmsIncDeepSharedPath3                             2    2063.05
Update.MmsIncDeepSharedPath3                             4    3764.18
Update.MmsIncDeepDistinctPath2                           1    1159.76
Update.MmsIncDeepDistinctPath2                           2    2230.78
Update.MmsIncDeepDistinctPath2                           4    3474.87
Update.MmsIncDeepDistinctPath3                           1    1221.46
Update.MmsIncDeepDistinctPath3                           2    2216.03
Update.MmsIncDeepDistinctPath3                           4    3235.68
Update.MmsIncDeepDistinctPath4                           1    1215.06
Update.MmsIncDeepDistinctPath4                           2    2014.87
Update.MmsIncDeepDistinctPath4                           4    3480.53
Update.MmsSetDeepDistinctPaths                           1    1102.52
Update.MmsSetDeepDistinctPaths                           2    2160.26
Update.MmsSetDeepDistinctPaths                           4    2851.66
