test_name                                      num_threads    ops_per_sec
Update.DocValidation.OneFiftyNum.JSONSchema              4    2198.49
Update.DocValidation.Variety.Compare                     1    1522.91
Update.DocValidation.Variety.Compare                     2    3375.36
Update.DocValidation.Variety.Compare                     4    5241.77
Update.DocValidation.Variety.JSONSchema                  1    1513.55
Update.DocValidation.Variety.JSONSchema                  2    3221.97
Update.DocValidation.Variety.JSONSchema                  4    5243.99
Update.DocValidation.Array.Compare                       1    2237.82
Update.DocValidation.Array.Compare                       2    4221.71
Update.DocValidation.Array.Compare                       4    7136.54
Update.DocValidation.Array.JSONSchema                    1    2046.33
Update.DocValidation.Array.JSONSchema                    2    3848.18
Update.DocValidation.Array.JSONSchema                    4    6876.76
Update.DocValidation.Nested.Compare                      1    1542.28
Update.DocValidation.Nested.Compare                      2    3081.4
Update.DocValidation.Nested.Compare                      4    4943.36
Update.DocValidation.Nested.JSONSchema                   1    1511.98
Update.DocValidation.Nested.JSONSchema                   2    2871.71
Update.DocValidation.Nested.JSONSchema                   4    4641.39
MultiUpdate.BigAllDocs.NoIndex                           1       0.38668
MultiUpdate.BigAllDocs.NoIndex                           2       0.617116
MultiUpdate.BigAllDocs.NoIndex                           4       0.902152
MultiUpdate.BigAllDocs.Indexed                           1       0.290047
MultiUpdate.BigAllDocs.Indexed                           2       0.437555
MultiUpdate.BigAllDocs.Indexed                           4       0.66333
MultiUpdate.BigAllDocsMultiChange.NoIndex                1       0.353972
MultiUpdate.BigAllDocsMultiChange.NoIndex                2       0.562468
MultiUpdate.BigAllDocsMultiChange.NoIndex                4       0.87303
MultiUpdate.BigAllDocsMultiChange.Indexed                1       0.25182
MultiUpdate.BigAllDocsMultiChange.Indexed                2       0.424367
MultiUpdate.BigAllDocsMultiChange.Indexed                4       0.726366
MultiUpdate.Contended.AllDocs.NoIndex                    1      10.6871
MultiUpdate.Contended.AllDocs.NoIndex                    2      17.5574
MultiUpdate.Contended.AllDocs.NoIndex                    4      28.2724
MultiUpdate.Contended.AllDocs.Indexed                    1       7.94308
MultiUpdate.Contended.AllDocs.Indexed                    2      13.082
MultiUpdate.Contended.AllDocs.Indexed                    4      23.1238
Inserts.PartialIndex.FilteredRange                       1    1559.95
Inserts.PartialIndex.FilteredRange                       2    3022.18
Inserts.PartialIndex.FilteredRange                       4    5880.72
Inserts.PartialIndex.NonFilteredRange                    1    1717.36
Inserts.PartialIndex.NonFilteredRange                    2    3308.19
Inserts.PartialIndex.NonFilteredRange                    4    6129.86
Inserts.PartialIndex.FullRange                           1    1604.1
Inserts.PartialIndex.FullRange                           2    2412.69
Inserts.PartialIndex.FullRange                           4    4380.35
Insert.Empty                                             1    1215.79
Insert.Empty                                             2    3114.52
Insert.Empty                                             4    5184.91
Insert.EmptyCapped                                       1    1434.59
Insert.EmptyCapped                                       2    2799.97
Insert.EmptyCapped                                       4    4178.4
Insert.EmptyCapped.SeqIntID                              1    1448.84
Insert.EmptyCapped.SeqIntID                              2    2607.3
Insert.EmptyCapped.SeqIntID                              4    3780.82
Insert.JustID                                            1    1381.8
Insert.JustID                                            2    3178.39
Insert.JustID                                            4    5335.74
Insert.IntVector                                         1     594.17
Insert.IntVector                                         2    1098.55
Insert.IntVector                                         4    1777.94
Insert.SeqIntID.Indexed                                  1    1672.88
Insert.SeqIntID.Indexed                                  2    2973.19
Insert.SeqIntID.Indexed                                  4    4978.57
Insert.IntIDUpsert                                       1    1482.32
Insert.IntIDUpsert                                       2    3010.96
Insert.IntIDUpsert                                       4    4705.42
Insert.JustNum                                           1    1703.99
Insert.JustNum                                           2    3052.7
Insert.JustNum                                           4    5987.3
Insert.JustNumIndexed                                    1    1797.33
Insert.JustNumIndexed                                    2    3396.4
Insert.JustNumIndexed                                    4    6271.44
InsertIndexedStringsSimpleCollation                      1    1704.93
InsertIndexedStringsSimpleCollation                      2    3470.05
InsertIndexedStringsSimpleCollation                      4    6273.35
InsertIndexedStringsNonSimpleCollation                   1    1689.94
InsertIndexedStringsNonSimpleCollation                   2    3437.91
InsertIndexedStringsNonSimpleCollation                   4    5818.86
Insert.UniqueIndex                                       1    1635.63
Insert.UniqueIndex                                       2    3315.84
Insert.UniqueIndex                                       4    5875.75
