test_name                                      num_threads    ops_per_sec
-------------------------------------------  -------------  -------------
Insert.SingleIndex.Seq                                   1    1440
Insert.SingleIndex.Seq                                   2    2722.3
Insert.SingleIndex.Seq                                   4    5383.6
Insert.SingleIndex.Uncontested.Rnd                       1    1311.06
Insert.SingleIndex.Uncontested.Rnd                       2    2989.93
Insert.SingleIndex.Uncontested.Rnd                       4    4782.49
Insert.SingleIndex.Contested.Rnd                         1    1340.38
Insert.SingleIndex.Contested.Rnd                         2    2883.85
Insert.SingleIndex.Contested.Rnd                         4    4987.46
Insert.MultiIndex.Uncontested.Rnd                        1    1314.81
Insert.MultiIndex.Uncontested.Rnd                        2    2604.37
Insert.MultiIndex.Uncontested.Rnd                        4    5299.52
Insert.MultiIndex.Contested.Rnd                          1    1336.67
Insert.MultiIndex.Contested.Rnd                          2    2944.63
Insert.MultiIndex.Contested.Rnd                          4    4947.7
Insert.MultiKeyIndex.Uncontested.Rnd                     1    1309.38
Insert.MultiKeyIndex.Uncontested.Rnd                     2    2865.71
Insert.MultiKeyIndex.Uncontested.Rnd                     4    4514.53
Insert.MultiKeyIndex.Contested.Rnd                       1    1436.25
Insert.MultiKeyIndex.Contested.Rnd                       2    2706.82
Insert.MultiKeyIndex.Contested.Rnd                       4    5033.38
Insert.BigKeyIndex                                       1     408.41
Insert.BigKeyIndex                                       2     690.337
Insert.BigKeyIndex                                       4     933.855
Update.SetWithIndex.Random                               1    1346.86
Update.SetWithIndex.Random                               2    2828.28
Update.SetWithIndex.Random                               4    4032.67
Update.SetWithMultiIndex.Random                          1    1237.22
Update.SetWithMultiIndex.Random                          2    2402.47
Update.SetWithMultiIndex.Random                          4    4288.31
Update.SetWithMultiIndex.String                          1    1041.14
Update.SetWithMultiIndex.String                          2    2145.52
Update.SetWithMultiIndex.String                          4    3548.15
Insert.DocValidation.OneInt.Compare                      1    1427.99
Insert.DocValidation.OneInt.Compare                      2    2771.35
Insert.DocValidation.OneInt.Compare                      4    5416.32
Insert.DocValidation.OneInt                              1    1307.06
Insert.DocValidation.OneInt                              2    3004.31
Insert.DocValidation.OneInt                              4    4952.07
Insert.DocValidation.OneInt.JSONSchema                   1    1385.16
Insert.DocValidation.OneInt.JSONSchema                   2    2815.02
Insert.DocValidation.OneInt.JSONSchema                   4    4852.83
Insert.DocValidation.TenInt.Compare                      1    1359.46
Insert.DocValidation.TenInt.Compare                      2    2747.05
Insert.DocValidation.TenInt.Compare                      4    5197.17
Insert.DocValidation.TenInt                              1    1281.26
Insert.DocValidation.TenInt                              2    2968.25
Insert.DocValidation.TenInt                              4    4706.15
Insert.DocValidation.TwentyInt.Compare                   1    1390.65
Insert.DocValidation.TwentyInt.Compare                   2    2723.77
Insert.DocValidation.TwentyInt.Compare                   4    4673.91
Insert.DocValidation.TwentyInt                           1    1414.79
Insert.DocValidation.TwentyInt                           2    2688.38
Insert.DocValidation.TwentyInt                           4    5101.04
Insert.DocValidation.TwentyInt.JSONSchema                1    1304.89
Insert.DocValidation.TwentyInt.JSONSchema                2    2845.55
Insert.DocValidation.TwentyInt.JSONSchema                4    4682.37
Insert.DocValidation.OneFiftyInt.Compare                 1    1055.14
Insert.DocValidation.OneFiftyInt.Compare                 2    1969.18
Insert.DocValidation.OneFiftyInt.Compare                 4    3127.26
Insert.DocValidation.OneFiftyInt                         1     806.099
Insert.DocValidation.OneFiftyInt                         2    1299.67
Insert.DocValidation.OneFiftyInt                         4    2683.77
Insert.DocValidation.OneFiftyInt.JSONSchema              1     796.489
Insert.DocValidation.OneFiftyInt.JSONSchema              2    1421.39
Insert.DocValidation.OneFiftyInt.JSONSchema              4    2679.86
Insert.DocValidation.Variety.Compare                     1    1383.77
Insert.DocValidation.Variety.Compare                     2    2810.07
Insert.DocValidation.Variety.Compare                     4    4806.99
Insert.DocValidation.Variety.JSONSchema                  1    1326.61
Insert.DocValidation.Variety.JSONSchema                  2    2753.3
Insert.DocValidation.Variety.JSONSchema                  4    4854.25
Insert.DocValidation.Array.Compare                       1    1403.98
Insert.DocValidation.Array.Compare                       2    2548.3
Insert.DocValidation.Array.Compare                       4    4768.37
Insert.DocValidation.Array.JSONSchema                    1    1137.51
Insert.DocValidation.Array.JSONSchema                    2    2607.13
Insert.DocValidation.Array.JSONSchema                    4    3994.09
Insert.DocValidation.Nested.Compare                      1    1375.51
Insert.DocValidation.Nested.Compare                      2    2874.08
Insert.DocValidation.Nested.Compare                      4    5053.16
Insert.DocValidation.Nested.JSONSchema                   1    1338.38
Insert.DocValidation.Nested.JSONSchema                   2    2608.29
Insert.DocValidation.Nested.JSONSchema                   4    4843.56
Update.DocValidation.OneNum.Compare                      1    1284.25
Update.DocValidation.OneNum.Compare                      2    2775.07
Update.DocValidation.OneNum.Compare                      4    4719.54
Update.DocValidation.OneNum                              1    1283.49
Update.DocValidation.OneNum                              2    2819.35
Update.DocValidation.OneNum                              4    4289.55
Update.DocValidation.OneNum.JSONSchema                   1    1352.29
Update.DocValidation.OneNum.JSONSchema                   2    2473.04
Update.DocValidation.OneNum.JSONSchema                   4    4637.96
Update.DocValidation.TenNum.Compare                      1    1226.46
Update.DocValidation.TenNum.Compare                      2    2566.98
Update.DocValidation.TenNum.Compare                      4    4505.25
Update.DocValidation.TenNum                              1    1211.82
Update.DocValidation.TenNum                              2    2777.7
Update.DocValidation.TenNum                              4    4127.79
Update.DocValidation.TwentyNum.Compare                   1    1195.46
Update.DocValidation.TwentyNum.Compare                   2    2407.22
Update.DocValidation.TwentyNum.Compare                   4    4137.21
Update.DocValidation.TwentyNum                           1    1207
Update.DocValidation.TwentyNum                           2    2239.28
Update.DocValidation.TwentyNum                           4    4590.39
Update.DocValidation.TwentyNum.JSONSchema                1    1135.4
Update.DocValidation.TwentyNum.JSONSchema                2    2597.49
Update.DocValidation.TwentyNum.JSONSchema                4    4115.23
Update.DocValidation.OneFiftyNum.Compare                 1     646.78
Update.DocValidation.OneFiftyNum.Compare                 2    1374.32
Update.DocValidation.OneFiftyNum.Compare                 4    2084.44
Update.DocValidation.OneFiftyNum                         1     579.492
Update.DocValidation.OneFiftyNum                         2    1177.33
Update.DocValidation.OneFiftyNum                         4    1865.92
Update.DocValidation.OneFiftyNum.JSONSchema              1     555.579
Update.DocValidation.OneFiftyNum.JSONSchema              2    1193.23
Update.DocValidation.OneFiftyNum.JSONSchema              4    1901.96
Update.DocValidation.Variety.Compare                     1    1247.77
Update.DocValidation.Variety.Compare                     2    2845.39
Update.DocValidation.Variety.Compare                     4    4342.88
Update.DocValidation.Variety.JSONSchema                  1    1262.36
Update.DocValidation.Variety.JSONSchema                  2    2641.1
Update.DocValidation.Variety.JSONSchema                  4    4612.27
Update.DocValidation.Array.Compare                       1    2007.55
Update.DocValidation.Array.Compare                       2    3587.96
Update.DocValidation.Array.Compare                       4    7158.01
Update.DocValidation.Array.JSONSchema                    1    2013.18
Update.DocValidation.Array.JSONSchema                    2    3773.15
Update.DocValidation.Array.JSONSchema                    4    7032.59
Update.DocValidation.Nested.Compare                      1    1162.41
Update.DocValidation.Nested.Compare                      2    2718.52
Update.DocValidation.Nested.Compare                      4    4188.48
Update.DocValidation.Nested.JSONSchema                   1    1182.42
Update.DocValidation.Nested.JSONSchema                   2    2472.72
Update.DocValidation.Nested.JSONSchema                   4    3975.26
MultiUpdate.BigAllDocs.NoIndex                           1       0.3956
MultiUpdate.BigAllDocs.NoIndex                           2       0.431701
MultiUpdate.BigAllDocs.NoIndex                           4       0.467492
MultiUpdate.BigAllDocs.Indexed                           1       0.315162
MultiUpdate.BigAllDocs.Indexed                           2       0.376425
MultiUpdate.BigAllDocs.Indexed                           4       0.436568
MultiUpdate.BigAllDocsMultiChange.NoIndex                1       0.423225
MultiUpdate.BigAllDocsMultiChange.NoIndex                2       0.463117
MultiUpdate.BigAllDocsMultiChange.NoIndex                4       0.366526
MultiUpdate.BigAllDocsMultiChange.Indexed                1       0.287996
MultiUpdate.BigAllDocsMultiChange.Indexed                2       0.340909
MultiUpdate.BigAllDocsMultiChange.Indexed                4       0.36682
MultiUpdate.Contended.AllDocs.NoIndex                    1       5.45505
MultiUpdate.Contended.AllDocs.NoIndex                    2      17.9356
MultiUpdate.Contended.AllDocs.NoIndex                    4       4.53499
MultiUpdate.Contended.AllDocs.Indexed                    1      10.1802
MultiUpdate.Contended.AllDocs.Indexed                    2      13.322
MultiUpdate.Contended.AllDocs.Indexed                    4      10.241
Inserts.PartialIndex.FilteredRange                       1     824.34
Inserts.PartialIndex.FilteredRange                       2    2836.82
Inserts.PartialIndex.FilteredRange                       4    5267.48
Inserts.PartialIndex.NonFilteredRange                    1    1407.27
Inserts.PartialIndex.NonFilteredRange                    2    2898.86
Inserts.PartialIndex.NonFilteredRange                    4    5526.66
Inserts.PartialIndex.FullRange                           1    1376.46
Inserts.PartialIndex.FullRange                           2    3141.85
Inserts.PartialIndex.FullRange                           4    4874.27
Insert.Empty                                             1    1481.76
Insert.Empty                                             2    3005.23
Insert.Empty                                             4    5478.18
Insert.EmptyCapped                                       1    1368.44
Insert.EmptyCapped                                       2    2847
Insert.EmptyCapped                                       4    5137.42
Insert.EmptyCapped.SeqIntID                              1    1322.58
Insert.EmptyCapped.SeqIntID                              2    2957.49
Insert.EmptyCapped.SeqIntID                              4    4713.36
Insert.JustID                                            1    1447.33
Insert.JustID                                            2    3106.88
Insert.JustID                                            4    5373.78
Insert.IntVector                                         1     541.879
Insert.IntVector                                         2     858.216
Insert.IntVector                                         4    1536.6
Insert.SeqIntID.Indexed                                  1    1376.01
Insert.SeqIntID.Indexed                                  2    2984.76
Insert.SeqIntID.Indexed                                  4    5237.93
Insert.IntIDUpsert                                       1    1316.28
Insert.IntIDUpsert                                       2    2833.61
Insert.IntIDUpsert                                       4    4616.28
Insert.JustNum                                           1    1359.19
